00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,date,day,metric,month,station,weekday,year
11.63,19.59,16.42,11.24,9.4,7.91,9.2,10.91,10.01,9.18,9.71,9.6,9.54,10.73,12.66,13.07,13.77,17.65,30.1,32.36,36.9,32.4,44.47,31.39,2010-01-01,1,08,1,059,4,2010
18.08,19.78,20.5,26.84,16.58,19.5,31.03,36.73,38.05,40.98,46.73,39.52,42.67,48.75,49.1,46.7,42.86,29.23,32.96,45.99,47.79,45.87,43.28,42.17,2010-01-02,2,08,1,059,5,2010
38.6,42.17,42.03,37.65,34.76,32.26,31.9,33.13,33.46,28.59,35.36,35.99,31.08,39.89,45.51,48.9,49.17,44.41,45.14,48.66,48.09,53.33,51.97,47.8,2010-01-03,3,08,1,059,6,2010
44.03,43.27,37.0,33.0,28.16,23.27,22.49,23.85,36.09,24.25,24.27,28.38,25.74,34.64,46.74,51.52,46.61,45.37,60.37,62.58,62.56,63.86,63.74,55.68,2010-01-04,4,08,1,059,0,2010
39.06,31.21,39.92,42.65,34.1,30.24,28.98,27.95,40.49,47.83,43.62,39.19,29.47,26.08,31.48,39.47,36.86,31.23,29.66,34.79,30.8,26.5,40.36,47.57,2010-01-05,5,08,1,059,1,2010
51.0,45.58,31.1,26.86,18.24,12.43,11.33,13.85,15.92,14.72,15.38,15.36,17.92,15.89,15.72,13.49,13.86,18.57,33.0,40.99,39.6,52.12,60.4,53.64,2010-01-06,6,08,1,059,2,2010
43.88,31.83,25.17,18.59,13.21,13.71,10.05,18.32,19.97,16.2,14.75,13.52,14.03,11.82,13.8,28.24,21.82,21.25,15.45,20.33,17.82,11.47,6.89,6.25,2010-01-07,7,08,1,059,3,2010
5.33,5.72,6.29,6.17,5.7,5.31,6.6,13.36,16.13,9.94,9.42,9.49,9.94,9.28,13.83,9.96,8.95,11.45,14.12,18.38,21.58,22.77,26.52,16.01,2010-01-08,8,08,1,059,4,2010
20.87,10.95,5.06,6.53,6.41,12.65,13.2,15.07,20.28,20.79,21.46,18.44,12.68,10.43,10.4,9.43,15.49,16.67,25.95,35.26,38.71,47.62,43.81,43.11,2010-01-09,9,08,1,059,5,2010
40.65,26.45,23.79,22.96,29.36,34.33,37.6,36.56,30.32,22.74,35.94,37.76,38.1,35.51,39.64,32.88,35.69,32.93,31.92,34.81,22.46,32.98,26.15,15.38,2010-01-10,10,08,1,059,6,2010
15.89,17.29,17.29,25.81,29.59,29.32,26.52,35.49,47.46,32.32,31.92,34.12,44.3,55.52,53.05,59.01,62.36,74.92,79.39,79.75,77.59,71.73,66.98,57.65,2010-01-11,11,08,1,059,0,2010
51.18,41.75,33.29,27.75,27.24,26.68,33.57,39.75,44.15,48.55,39.87,31.73,32.71,33.36,33.11,35.65,47.41,65.07,65.92,56.96,64.82,62.96,34.78,33.84,2010-01-12,12,08,1,059,1,2010
32.73,54.99,36.75,28.68,23.61,33.65,46.03,54.95,69.85,68.68,71.2,63.64,62.42,58.3,53.28,54.87,55.59,59.59,58.86,64.07,52.99,32.51,29.58,29.06,2010-01-13,13,08,1,059,2,2010
26.29,17.5,7.61,6.23,6.03,6.93,12.02,28.94,34.6,29.38,18.68,16.36,17.7,15.06,15.42,14.55,19.18,25.04,31.53,28.44,27.86,32.8,37.65,18.23,2010-01-14,14,08,1,059,3,2010
21.32,20.04,35.83,43.1,45.5,48.98,48.95,53.37,76.32,67.36,78.64,78.77,69.45,73.32,70.52,62.21,61.87,70.04,73.94,73.83,68.35,74.88,76.28,82.67,2010-01-15,15,08,1,059,4,2010
75.45,62.54,50.63,43.56,42.87,40.97,40.5,39.17,42.49,47.49,53.79,53.04,55.44,57.37,59.28,64.28,60.63,54.81,53.88,53.35,51.94,50.46,45.5,42.76,2010-01-16,16,08,1,059,5,2010
39.3,35.77,33.16,29.24,21.79,22.3,21.29,21.84,23.12,27.66,26.64,23.72,23.08,25.5,29.24,36.11,33.97,29.89,32.18,44.14,43.83,41.58,42.57,43.08,2010-01-17,17,08,1,059,6,2010
40.73,42.14,40.03,37.23,32.51,26.46,24.55,27.9,37.86,39.85,43.64,36.49,36.12,38.27,37.77,39.56,52.13,53.59,56.09,56.51,53.9,55.83,55.42,55.02,2010-01-18,18,08,1,059,0,2010
48.25,44.54,40.07,39.21,35.84,33.32,34.92,43.48,53.14,58.42,60.77,62.45,58.78,58.5,59.91,46.68,42.07,48.46,47.45,48.66,52.6,42.84,33.99,31.32,2010-01-19,19,08,1,059,1,2010
31.66,27.48,16.95,17.59,19.22,21.27,28.46,46.35,52.41,68.93,56.73,44.39,32.96,26.35,25.72,25.22,25.8,30.85,56.8,52.59,44.92,52.78,70.47,60.41,2010-01-20,20,08,1,059,2,2010
57.16,67.15,58.3,49.57,43.83,45.47,45.87,46.72,72.44,70.16,60.43,48.41,46.14,52.4,61.73,74.02,73.82,74.25,78.43,76.69,89.71,75.27,89.76,80.29,2010-01-21,21,08,1,059,3,2010
71.16,54.02,39.99,30.94,28.53,28.14,30.96,36.89,42.04,43.52,46.89,48.6,50.12,51.67,55.6,48.74,59.35,67.21,70.66,71.85,71.94,67.54,66.53,61.86,2010-01-22,22,08,1,059,4,2010
56.95,48.35,42.47,43.99,42.1,37.1,31.19,25.28,32.29,30.44,29.71,30.04,12.69,11.62,12.05,11.28,13.69,14.51,19.27,28.74,36.86,34.48,36.68,39.49,2010-01-23,23,08,1,059,5,2010
34.51,32.94,32.81,37.48,35.28,30.0,33.72,33.0,32.64,29.87,23.74,28.07,37.32,16.49,10.67,8.29,11.96,11.1,18.15,16.17,33.73,38.26,18.22,10.98,2010-01-24,24,08,1,059,6,2010
8.2,11.21,5.92,5.23,5.99,10.65,26.31,33.28,48.49,47.17,37.45,11.43,8.12,7.51,7.91,8.28,7.81,10.37,16.43,30.92,16.22,9.95,11.81,13.47,2010-01-25,25,08,1,059,0,2010
8.05,7.63,5.04,4.67,5.18,5.98,13.27,19.16,19.68,19.71,11.27,14.25,11.39,7.98,8.39,8.84,9.23,13.24,15.51,32.02,29.86,37.83,30.24,18.81,2010-01-26,26,08,1,059,1,2010
20.69,13.92,11.51,6.55,11.02,11.64,9.64,18.57,22.55,25.45,17.42,10.81,12.58,11.82,12.47,11.54,12.22,21.72,31.59,35.83,24.87,21.94,21.56,24.31,2010-01-27,27,08,1,059,2,2010
29.33,34.47,22.37,22.7,19.83,20.85,17.01,39.85,80.5,68.84,67.44,77.72,84.29,86.08,89.05,89.46,72.32,26.24,34.76,33.03,22.23,20.68,17.99,22.76,2010-01-28,28,08,1,059,3,2010
29.21,53.22,53.26,50.97,52.74,48.49,50.04,66.08,84.59,91.34,91.72,106.4,103.9,73.73,57.22,46.58,26.51,21.09,32.74,33.41,32.78,28.93,18.04,13.59,2010-01-29,29,08,1,059,4,2010
10.32,11.79,11.03,11.64,18.02,23.55,22.07,17.61,24.98,31.08,22.16,16.67,16.4,16.84,13.94,12.07,11.7,16.02,16.61,23.36,30.09,35.38,26.63,15.78,2010-01-30,30,08,1,059,5,2010
12.93,16.13,21.83,14.36,13.57,12.02,27.28,33.27,26.82,27.46,24.69,15.57,12.85,14.57,13.81,14.17,16.19,22.89,30.37,24.66,21.68,18.81,15.01,13.37,2010-01-31,31,08,1,059,6,2010
10.13,9.42,10.17,10.73,16.2,22.19,19.23,30.74,44.0,35.86,21.45,12.62,10.38,9.67,8.13,7.47,7.72,9.3,17.75,34.31,39.21,31.8,35.75,35.61,2010-02-01,1,08,2,059,0,2010
24.9,22.32,15.05,14.24,13.44,14.58,17.18,31.8,39.03,47.32,55.59,51.52,47.86,51.4,55.65,46.52,40.14,39.59,39.77,62.07,73.91,83.98,67.86,54.15,2010-02-02,2,08,2,059,1,2010
51.58,44.46,38.25,33.81,29.38,23.79,27.17,35.23,41.57,38.09,38.15,42.05,52.37,57.7,54.34,53.37,49.32,47.53,58.22,62.06,65.03,68.87,78.15,67.58,2010-02-03,3,08,2,059,2,2010
58.39,48.96,46.88,39.29,33.5,33.91,35.39,40.39,50.06,52.11,46.72,44.73,50.16,53.07,57.32,51.76,47.39,52.98,58.51,57.51,53.17,51.91,42.36,20.73,2010-02-04,4,08,2,059,3,2010
14.49,9.57,9.6,8.72,8.42,9.76,18.39,43.24,63.09,54.0,38.99,26.33,23.72,24.75,29.67,24.37,24.38,25.47,32.22,42.69,45.71,64.55,50.11,33.29,2010-02-05,5,08,2,059,4,2010
29.73,23.81,22.43,23.94,12.65,10.37,12.67,25.65,33.99,38.77,29.85,18.11,13.99,13.81,12.6,13.09,13.28,20.63,33.44,47.48,51.66,59.89,66.34,68.55,2010-02-06,6,08,2,059,5,2010
55.9,47.7,42.78,41.03,39.69,35.74,34.8,32.68,33.0,24.84,23.49,29.49,28.9,22.83,42.24,29.71,30.5,32.23,47.72,54.35,58.45,57.84,58.31,50.22,2010-02-07,7,08,2,059,6,2010
47.51,48.97,46.63,40.87,34.88,32.97,35.72,37.76,46.91,50.42,52.51,52.46,49.98,54.89,42.29,34.74,34.1,40.22,46.03,48.62,53.04,41.28,38.28,55.37,2010-02-08,8,08,2,059,0,2010
40.48,16.66,13.79,11.47,14.07,13.78,21.31,42.77,57.13,58.8,41.77,23.6,20.86,19.95,20.72,14.17,11.81,16.42,21.91,35.41,21.56,16.14,14.77,13.05,2010-02-09,9,08,2,059,1,2010
12.08,10.77,11.81,9.84,14.41,35.17,40.83,51.18,60.28,53.54,47.56,44.29,37.94,44.08,50.58,38.7,37.24,42.75,47.81,48.15,37.31,16.57,11.97,9.23,2010-02-10,10,08,2,059,2,2010
6.77,8.52,9.07,10.64,6.09,8.32,13.31,22.21,17.71,17.02,10.03,9.71,9.44,9.31,9.07,8.52,7.7,9.91,12.66,18.68,27.23,21.39,20.11,12.43,2010-02-11,11,08,2,059,3,2010
11.75,9.72,8.21,7.99,6.98,10.63,19.24,36.78,61.2,39.8,37.76,49.95,29.43,24.56,15.59,10.29,10.8,13.93,17.52,23.69,45.29,36.34,25.97,23.17,2010-02-12,12,08,2,059,4,2010
11.19,13.98,12.65,9.46,7.56,10.13,9.06,15.86,14.95,15.82,9.28,8.71,7.69,6.67,6.85,6.89,6.38,8.15,9.72,16.17,18.0,23.12,42.39,21.34,2010-02-13,13,08,2,059,5,2010
12.19,9.7,7.08,12.49,17.54,14.33,14.9,15.5,20.69,24.59,13.84,11.21,7.98,12.45,9.15,10.53,13.44,13.24,15.09,20.36,48.46,66.58,71.89,60.66,2010-02-14,14,08,2,059,6,2010
45.26,33.16,19.17,15.02,13.8,12.63,19.94,34.1,49.7,34.84,35.43,33.26,20.72,20.18,27.66,22.94,22.79,22.96,30.1,33.2,25.93,22.09,19.18,16.49,2010-02-15,15,08,2,059,0,2010
12.18,11.82,10.03,7.33,8.82,10.51,14.62,23.92,31.23,28.91,25.36,18.01,15.98,16.1,20.37,21.9,23.92,21.83,21.98,30.02,46.26,58.89,51.54,43.09,2010-02-16,16,08,2,059,1,2010
52.05,35.42,16.63,16.87,17.2,20.9,31.03,32.62,40.19,45.83,33.63,30.23,25.84,21.09,24.32,15.67,19.72,24.18,30.24,36.39,33.45,32.45,28.05,19.29,2010-02-17,17,08,2,059,2,2010
14.54,12.53,11.31,11.13,15.5,28.14,54.01,64.53,68.1,62.64,42.87,25.8,15.2,16.8,14.9,14.22,12.51,17.53,28.09,43.06,36.75,44.31,39.0,44.71,2010-02-18,18,08,2,059,3,2010
31.96,31.32,36.65,46.88,45.33,31.85,32.53,49.71,81.48,66.22,56.2,45.43,12.27,15.96,15.68,33.89,27.99,18.56,33.25,46.11,40.33,30.5,45.99,36.52,2010-02-19,19,08,2,059,4,2010
21.94,31.86,23.57,18.43,13.35,13.1,17.75,18.77,31.79,28.59,15.31,14.52,14.2,14.32,14.42,13.49,13.18,15.39,22.73,38.73,57.21,57.71,68.26,60.46,2010-02-20,20,08,2,059,5,2010
43.08,25.1,21.58,16.5,35.62,37.89,13.42,11.75,16.27,13.69,12.23,12.51,10.47,11.32,14.47,17.93,12.94,19.3,50.12,63.78,68.14,66.98,58.41,56.9,2010-02-21,21,08,2,059,6,2010
50.89,30.26,21.23,19.67,18.13,30.06,40.54,45.84,44.83,52.02,32.21,35.92,29.11,21.33,24.88,25.22,24.67,34.97,57.18,52.68,57.18,37.5,36.59,22.81,2010-02-22,22,08,2,059,0,2010
