00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,date,day,metric,month,station,weekday,year
2.2,3.94,3.71,2.25,1.65,1.36,1.85,1.86,1.71,1.53,1.38,1.35,1.4,1.31,1.84,1.74,1.87,4.7,4.8,9.26,11.78,12.19,8.91,6.61,2010-01-01,1,08,1,024,4,2010
4.99,7.3,13.02,6.88,8.57,10.07,10.09,12.49,11.64,20.77,26.58,17.13,21.33,38.92,27.09,17.58,8.75,9.02,15.49,65.68,68.21,58.97,56.93,65.19,2010-01-02,2,08,1,024,5,2010
70.94,68.5,60.61,49.87,52.44,38.05,33.41,31.78,32.92,32.9,37.1,29.32,40.62,53.31,53.09,50.68,70.59,64.76,62.46,63.67,60.12,58.75,55.62,58.67,2010-01-03,3,08,1,024,6,2010
66.91,70.15,61.69,39.9,30.44,30.77,22.29,37.22,50.31,60.51,62.05,56.99,55.87,67.56,77.48,65.25,76.51,69.65,99.71,110.2,76.51,68.55,96.39,82.57,2010-01-04,4,08,1,024,0,2010
48.03,46.12,41.54,32.53,31.43,32.37,37.5,39.06,56.26,67.91,58.69,27.11,9.94,6.78,19.91,10.41,17.73,24.25,31.52,54.31,59.68,23.99,18.47,30.66,2010-01-05,5,08,1,024,1,2010
28.6,27.74,18.84,11.25,10.65,8.41,12.29,15.01,9.65,11.5,9.17,5.48,5.69,4.62,6.24,4.81,4.12,5.77,14.35,39.36,54.64,54.12,59.13,65.62,2010-01-06,6,08,1,024,2,2010
70.83,23.92,50.95,35.58,21.05,18.05,23.23,35.07,35.99,35.18,26.52,25.49,23.99,24.61,24.13,27.31,29.46,26.82,25.69,30.33,21.4,24.91,7.19,6.66,2010-01-07,7,08,1,024,3,2010
5.53,5.28,4.64,2.77,2.94,3.4,2.97,6.79,8.13,7.0,2.51,4.65,4.69,4.75,5.0,5.76,5.86,8.11,17.24,9.77,13.13,20.51,11.86,10.24,2010-01-08,8,08,1,024,4,2010
7.21,8.11,8.45,6.45,6.71,6.04,6.32,5.97,7.43,6.07,6.43,5.7,5.51,5.4,4.47,4.32,6.26,9.27,15.16,16.88,14.88,10.92,20.68,18.9,2010-01-09,9,08,1,024,5,2010
12.62,8.65,9.85,25.34,25.32,20.21,14.52,15.32,23.25,33.61,46.86,55.61,69.52,63.36,58.0,62.72,67.5,45.99,43.4,46.32,36.23,46.58,39.91,38.29,2010-01-10,10,08,1,024,6,2010
