00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,date,day,metric,month,station,weekday,year
3.49,6.65,5.85,4.4,2.78,2.27,2.67,3.49,3.58,3.1,2.94,3.13,3.3,3.95,4.67,4.84,6.05,11.63,9.13,12.13,14.9,18.64,28.18,13.87,2010-01-01,1,08,1,058,4,2010
14.93,14.24,16.27,10.56,5.01,9.13,17.65,17.73,24.81,23.37,13.28,11.58,18.079499427449697,15.39,33.27,49.79,46.49,52.97,52.72,47.11,46.41,43.43,39.05,35.98,2010-01-02,2,08,1,058,5,2010
34.32,35.54,27.88,21.26,20.08,19.37,17.43,19.11,21.18,23.61,19.21398495010633,30.95,34.32,32.89,37.42,35.5,32.5,26.37,31.97,30.1,29.49,38.01,45.06,43.28,2010-01-03,3,08,1,058,6,2010
48.27,41.6,21.51,16.58,31.15,13.1,14.62,24.18,35.04,36.11,26.52,18.975005725503024,25.06,22.75,35.19,46.74,71.64,15.481894323572716,71.08,78.81,75.77,75.32,65.96,50.0,2010-01-04,4,08,1,058,0,2010
49.39,40.97,36.62,41.37,35.1,22.21,28.35,33.0,40.4,38.86,29.43,20.62,13.33,15.27,27.98,15.62,21.33,28.13,31.31,40.22,39.55,35.79,27.78,24.01,2010-01-05,5,08,1,058,1,2010
20.12,16.86,14.84,14.32,8.67,3.7,3.99,5.74,7.32,9.23,7.57,7.16,6.21,6.79,6.6,5.96,5.79,14.08,20.12,27.08,44.85,52.25,41.79,28.93,2010-01-06,6,08,1,058,2,2010
12.99,21.28,34.53,22.55,13.11,9.17,9.58,11.19,11.07,10.45,9.3,9.03,18.079499427449697,7.19,6.86,11.03,8.68,10.91,13.31,12.7,15.91,14.06,4.69,4.08,2010-01-07,7,08,1,058,3,2010
3.24,3.39,3.05,2.99,2.74,2.57,3.44,4.71,3.99,4.82,4.65,4.22,4.2,4.93,4.68,5.84,7.66,12.73,19.12,12.03,11.33,15.54,27.44,20.41,2010-01-08,8,08,1,058,4,2010
7.67,9.07,11.17,11.34,9.24,5.04,5.99,6.01,7.59,9.16,11.62,9.93,9.57,11.06,8.54,5.86,10.74,11.7,14.27,14.47,37.11,18.35,23.31,35.94,2010-01-09,9,08,1,058,5,2010
26.69,27.31,20.78,16.44,18.2,10.95,11.32,23.99,23.12,20.06,24.1,17.64,17.75,28.14,31.87,43.69,50.88,48.6,49.01,42.58,40.42,36.75,34.0,27.64,2010-01-10,10,08,1,058,6,2010
