date,day,hour,measure,month,weekday,year,period
2017-12-04 03:00:00,4,3,63.0,12,0,2017,Without pedestrianization
2017-12-04 04:00:00,4,4,61.0,12,0,2017,Without pedestrianization
2017-12-04 05:00:00,4,5,46.0,12,0,2017,Without pedestrianization
2017-12-04 06:00:00,4,6,49.0,12,0,2017,Without pedestrianization
2017-12-04 07:00:00,4,7,58.0,12,0,2017,Without pedestrianization
2017-12-04 08:00:00,4,8,74.0,12,0,2017,Without pedestrianization
2017-12-04 09:00:00,4,9,85.0,12,0,2017,Without pedestrianization
2017-12-04 10:00:00,4,10,84.0,12,0,2017,Without pedestrianization
2017-12-04 11:00:00,4,11,47.647844674029216,12,0,2017,Without pedestrianization
2017-12-04 12:00:00,4,12,65.0,12,0,2017,Without pedestrianization
2017-12-04 13:00:00,4,13,53.0,12,0,2017,Without pedestrianization
2017-12-04 14:00:00,4,14,54.0,12,0,2017,Without pedestrianization
2017-12-04 15:00:00,4,15,50.0,12,0,2017,Without pedestrianization
2017-12-04 16:00:00,4,16,52.0,12,0,2017,Without pedestrianization
2017-12-04 17:00:00,4,17,71.0,12,0,2017,Without pedestrianization
2017-12-04 18:00:00,4,18,76.0,12,0,2017,Without pedestrianization
2017-12-04 19:00:00,4,19,79.0,12,0,2017,Without pedestrianization
2017-12-04 20:00:00,4,20,75.0,12,0,2017,Without pedestrianization
2017-12-04 21:00:00,4,21,76.0,12,0,2017,Without pedestrianization
2017-12-04 22:00:00,4,22,74.0,12,0,2017,Without pedestrianization
2017-12-04 23:00:00,4,23,69.0,12,0,2017,Without pedestrianization
2017-12-05 00:00:00,5,0,51.0,12,1,2017,Without pedestrianization
2017-12-05 01:00:00,5,1,42.0,12,1,2017,Without pedestrianization
2017-12-05 02:00:00,5,2,36.0,12,1,2017,Without pedestrianization
2017-12-05 03:00:00,5,3,33.0,12,1,2017,Without pedestrianization
2017-12-05 04:00:00,5,4,32.0,12,1,2017,Without pedestrianization
2017-12-05 05:00:00,5,5,37.0,12,1,2017,Without pedestrianization
2017-12-05 06:00:00,5,6,44.0,12,1,2017,Without pedestrianization
2017-12-05 07:00:00,5,7,59.0,12,1,2017,Without pedestrianization
2017-12-05 08:00:00,5,8,68.0,12,1,2017,Without pedestrianization
2017-12-05 09:00:00,5,9,77.0,12,1,2017,Without pedestrianization
2017-12-05 10:00:00,5,10,67.0,12,1,2017,Without pedestrianization
2017-12-05 11:00:00,5,11,78.0,12,1,2017,Without pedestrianization
2017-12-05 12:00:00,5,12,78.0,12,1,2017,Without pedestrianization
2017-12-05 13:00:00,5,13,65.0,12,1,2017,Without pedestrianization
2017-12-05 14:00:00,5,14,70.0,12,1,2017,Without pedestrianization
2017-12-05 15:00:00,5,15,68.0,12,1,2017,Without pedestrianization
2017-12-05 16:00:00,5,16,69.0,12,1,2017,Without pedestrianization
2017-12-05 17:00:00,5,17,74.0,12,1,2017,Without pedestrianization
2017-12-05 18:00:00,5,18,80.0,12,1,2017,Without pedestrianization
2017-12-05 19:00:00,5,19,95.0,12,1,2017,Without pedestrianization
2017-12-05 20:00:00,5,20,106.0,12,1,2017,Without pedestrianization
2017-12-05 21:00:00,5,21,112.0,12,1,2017,Without pedestrianization
2017-12-05 22:00:00,5,22,108.0,12,1,2017,Without pedestrianization
2017-12-05 23:00:00,5,23,89.0,12,1,2017,Without pedestrianization
2017-12-06 00:00:00,6,0,80.0,12,2,2017,Without pedestrianization
2017-12-06 01:00:00,6,1,75.0,12,2,2017,Without pedestrianization
2017-12-06 02:00:00,6,2,62.0,12,2,2017,Without pedestrianization
2017-12-06 03:00:00,6,3,55.0,12,2,2017,Without pedestrianization
2017-12-06 04:00:00,6,4,52.0,12,2,2017,Without pedestrianization
2017-12-06 05:00:00,6,5,51.0,12,2,2017,Without pedestrianization
2017-12-06 06:00:00,6,6,49.0,12,2,2017,Without pedestrianization
2017-12-06 07:00:00,6,7,53.0,12,2,2017,Without pedestrianization
2017-12-06 08:00:00,6,8,55.0,12,2,2017,Without pedestrianization
2017-12-06 09:00:00,6,9,56.0,12,2,2017,Without pedestrianization
2017-12-06 10:00:00,6,10,56.0,12,2,2017,Without pedestrianization
2017-12-06 11:00:00,6,11,66.0,12,2,2017,Without pedestrianization
2017-12-06 12:00:00,6,12,67.0,12,2,2017,Without pedestrianization
2017-12-06 13:00:00,6,13,63.0,12,2,2017,Without pedestrianization
2017-12-06 14:00:00,6,14,62.0,12,2,2017,Without pedestrianization
2017-12-06 15:00:00,6,15,61.0,12,2,2017,Without pedestrianization
2017-12-06 16:00:00,6,16,61.0,12,2,2017,Without pedestrianization
2017-12-06 17:00:00,6,17,68.0,12,2,2017,Without pedestrianization
2017-12-06 18:00:00,6,18,74.0,12,2,2017,Without pedestrianization
2017-12-06 19:00:00,6,19,77.0,12,2,2017,Without pedestrianization
2017-12-06 20:00:00,6,20,84.0,12,2,2017,Without pedestrianization
2017-12-06 21:00:00,6,21,98.0,12,2,2017,Without pedestrianization
2017-12-06 22:00:00,6,22,96.0,12,2,2017,Without pedestrianization
2017-12-06 23:00:00,6,23,79.0,12,2,2017,Without pedestrianization
2017-12-07 00:00:00,7,0,78.0,12,3,2017,Without pedestrianization
2017-12-07 01:00:00,7,1,64.0,12,3,2017,Without pedestrianization
2017-12-07 02:00:00,7,2,59.0,12,3,2017,Without pedestrianization
2017-12-07 03:00:00,7,3,55.0,12,3,2017,Without pedestrianization
2017-12-07 04:00:00,7,4,52.0,12,3,2017,Without pedestrianization
2017-12-07 05:00:00,7,5,49.0,12,3,2017,Without pedestrianization
2017-12-07 06:00:00,7,6,48.0,12,3,2017,Without pedestrianization
2017-12-07 07:00:00,7,7,55.0,12,3,2017,Without pedestrianization
2017-12-07 08:00:00,7,8,63.0,12,3,2017,Without pedestrianization
2017-12-07 09:00:00,7,9,73.0,12,3,2017,Without pedestrianization
2017-12-07 10:00:00,7,10,77.0,12,3,2017,Without pedestrianization
2017-12-07 11:00:00,7,11,83.0,12,3,2017,Without pedestrianization
