00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,date,day,metric,month,station,weekday,year
13.92,17.45,17.85,13.78,13.09,12.23,11.88,12.59,12.02,11.15,11.74,9.67,11.64,11.63,11.79,12.64,13.59,20.35,34.35,44.96,46.68,46.8,47.28,36.05,2010-01-01,1,08,1,054,4,2010
33.62,39.91,37.24,44.22,35.01,29.9,28.89,27.04,39.36,50.35,53.4,48.25,61.53,63.91,43.82,24.03,27.66,29.15,43.83,64.9,59.48,68.45,86.97,94.58,2010-01-02,2,08,1,054,5,2010
84.3,77.4,72.61,66.32,60.36,55.79,49.84,46.61,41.49,48.08,38.99,28.45,23.99,41.15,55.92,56.4,42.96,34.56,42.5,55.59,78.95,75.06,71.85,79.81,2010-01-03,3,08,1,054,6,2010
66.51,59.15,50.98,41.8,36.43,36.41,43.37,48.53,54.0,55.42,53.4,61.48,73.54,84.12,79.6,66.75,57.34,49.83,51.71,63.22,74.37,64.96,36.33,28.45,2010-01-04,4,08,1,054,0,2010
34.88,31.55,31.49,38.0,37.49,16.87,48.47,82.47,87.34,85.05,68.87,81.27,86.37,72.73,48.23,60.79,69.4,68.91,70.68,78.01,75.07,77.86,65.27,80.05,2010-01-05,5,08,1,054,1,2010
67.04,59.57,48.13,38.98,33.98,28.18,27.5,35.78,26.04,32.12,23.57,22.42,19.96,17.35,15.64,11.17,13.69,21.25,36.27,46.05,55.13,49.98,44.43,44.67,2010-01-06,6,08,1,054,2,2010
31.52,40.45,35.41,23.79,24.13,15.77,24.69,34.64,35.99,48.49,39.19,28.39,26.18,26.21,24.15,23.66,26.19,29.95,38.15,50.87,52.11,42.06,22.83,18.63,2010-01-07,7,08,1,054,3,2010
14.56,9.96,9.39,10.87,11.84,13.64,16.81,31.3,37.91,43.34,27.34,22.72,22.83,22.63,19.3,18.78,23.23,29.43,43.42,57.06,60.81,53.6,48.52,53.47,2010-01-08,8,08,1,054,4,2010
35.75,21.51,23.31,23.08,32.16,28.2,28.18,35.65,24.91,26.57,22.67,14.09,16.97,13.8,14.01,12.91,15.36,26.57,38.3,57.35,49.64,68.49,64.29,71.04,2010-01-09,9,08,1,054,5,2010
69.4,40.02,40.59,45.97,55.16,63.97,61.24,58.53,57.07,44.59,31.9,36.61,34.46,36.74,37.15,41.91,46.23,38.88,31.46,49.19,46.14,40.06,34.48,32.17,2010-01-10,10,08,1,054,6,2010
18.81,18.74,19.16,23.62,21.14,31.96,48.48,61.53,84.35,67.62,37.44,44.11,53.77,61.36,53.71,47.65,56.62,75.73,89.88,92.28,84.24,84.91,70.3,57.38,2010-01-11,11,08,1,054,0,2010
40.15,30.42,38.53,44.79,50.62,52.62,51.23,65.4,46.86,73.89,68.32,63.48,63.85,63.11,68.76,71.81,73.34,90.72,101.4,109.6,93.98,83.94,68.33,69.63,2010-01-12,12,08,1,054,1,2010
59.56,44.56,38.33,34.51,31.8,40.04,69.68,91.17,81.69,79.36,72.1,64.82,70.32,56.87,49.61,55.7,68.81,103.2,69.58,45.73,33.35,22.03,23.69,17.93,2010-01-13,13,08,1,054,2,2010
22.28,17.69,7.47,5.24,5.93,6.69,10.26,16.37,24.46,32.31,27.66,15.81,13.49,13.86,13.93,18.53,20.46,30.44,41.85,44.91,47.72,30.01,30.88,23.78,2010-01-14,14,08,1,054,3,2010
20.55,34.65,47.74,34.82,65.6,65.46,78.97,100.6,97.75,102.8,92.29,77.21,66.83,52.61,38.42,43.6,63.92,81.79,99.71,101.2,100.1,102.9,89.47,83.89,2010-01-15,15,08,1,054,4,2010
70.5,58.06,44.62,40.35,36.5,37.34,42.52,40.15,46.85,47.26,36.25,36.31,36.07,39.5,46.98,37.71,27.8,39.16,47.66,64.64,55.13,56.77,64.41,47.72,2010-01-16,16,08,1,054,5,2010
29.65,20.96,20.11,19.82,16.37,19.55,23.29,26.53,17.22,17.87,22.85,23.49,21.32,23.43,26.06,17.71,19.15,26.8,48.87,79.76,119.2,110.6,108.8,80.83,2010-01-17,17,08,1,054,6,2010
76.91,71.51,60.84,54.78,55.41,49.95,48.06,57.75,64.76,62.32,63.75,50.51,33.08,37.49,26.57,33.29,44.83,53.61,62.35,67.19,70.79,65.16,61.79,54.31,2010-01-18,18,08,1,054,0,2010
46.97,48.36,45.71,42.39,43.59,45.86,43.77,49.09,56.29,69.28,64.8,57.56,50.75,56.61,58.74,32.32,37.47,47.6,46.78,47.6,51.62,51.09,69.38,78.43,2010-01-19,19,08,1,054,1,2010
46.66,28.55,39.13,47.38,32.62,32.05,50.96,54.58,68.84,66.99,49.01,43.25,28.54,19.38,16.64,26.44,26.85,31.68,65.86,91.05,76.96,78.96,92.45,84.55,2010-01-20,20,08,1,054,2,2010
82.63,77.4,56.37,49.18,47.66,55.48,60.89,78.81,92.52,86.86,69.73,69.94,63.39,71.36,71.24,70.16,73.18,80.4,93.47,114.1,96.47,127.5,117.6,108.1,2010-01-21,21,08,1,054,3,2010
100.1,100.0,79.2,67.86,59.46,54.17,55.56,57.71,61.64,62.7,53.7,56.31,59.43,58.5,61.92,61.99,69.38,79.32,88.87,108.4,97.21,97.87,102.6,120.2,2010-01-22,22,08,1,054,4,2010
101.1,81.89,87.37,80.72,71.52,59.22,49.15,45.95,44.65,43.68,41.55,25.99,17.76,25.49,21.24,25.65,20.12,30.69,83.46,111.5,105.5,60.99,82.29,56.08,2010-01-23,23,08,1,054,5,2010
55.04,58.63,71.89,75.38,68.86,70.49,65.76,62.8,63.74,69.8,48.08,48.48,35.74,26.11,26.2,14.52,14.04,20.01,26.68,36.67,40.44,28.1,29.23,21.12,2010-01-24,24,08,1,054,6,2010
19.56,15.66,8.95,7.1,8.35,13.26,21.78,56.5,59.98,51.79,38.91,29.57,25.78,22.13,18.63,22.6,26.83,39.19,70.08,59.71,45.55,46.47,30.84,13.67,2010-01-25,25,08,1,054,0,2010
17.03,11.41,8.88,7.55,7.04,8.5,17.46,35.76,41.65,30.78,24.04,22.58,20.5,17.96,18.87,24.19,35.78,51.7,61.4,92.4,95.39,72.85,78.72,59.98,2010-01-26,26,08,1,054,1,2010
22.5,42.08,18.99,12.8,23.86,25.92,23.47,37.32,52.0,48.36,31.26,31.19,29.85,29.52,21.57,28.08,37.14,52.73,67.55,61.78,41.31,40.13,36.18,25.43,2010-01-27,27,08,1,054,2,2010
20.28,44.3,39.41,32.33,20.97,31.39,57.14,87.55,107.3,107.1,76.95,93.49,53.6,70.08,76.95,69.92,82.89,86.19,76.2,59.19,49.84,65.89,56.78,89.13,2010-01-28,28,08,1,054,3,2010
89.52,86.5,75.6,73.93,68.03,62.17,72.82,86.77,103.6,89.72,81.79,89.89,66.24,24.94,31.32,40.23,34.65,24.87,39.79,46.96,44.35,45.13,31.69,21.73,2010-01-29,29,08,1,054,4,2010
17.81,16.76,18.04,17.76,20.21,19.9,29.77,63.2,84.03,61.5,20.15,14.28,13.87,13.7,11.2,10.51,9.54,19.01,31.72,36.32,29.07,44.12,41.16,27.88,2010-01-30,30,08,1,054,5,2010
25.6,30.21,26.93,28.61,28.18,22.15,25.2,34.33,50.43,41.34,23.48,14.66,10.23,10.9,14.13,12.95,12.81,19.86,27.01,34.05,35.15,29.86,21.78,21.53,2010-01-31,31,08,1,054,6,2010
13.85,15.74,17.39,24.18,28.23,53.24,64.67,68.37,108.5,96.0,47.56,34.68,26.77,22.25,20.49,22.69,29.32,45.35,108.5,131.8,125.6,103.3,93.21,71.45,2010-02-01,1,08,2,054,0,2010
46.5,31.7,30.78,27.63,22.39,27.6,52.84,75.12,105.9,88.91,73.61,66.88,54.18,34.39,29.78,28.43,29.79,28.72,59.13,120.2,180.3,168.3,136.6,121.8,2010-02-02,2,08,2,054,1,2010
91.69,81.82,70.92,65.92,63.68,61.06,58.02,74.73,72.57,71.49,85.13,79.39,71.72,62.66,54.05,47.52,53.63,56.1,85.9,100.1,121.6,158.3,146.6,113.3,2010-02-03,3,08,2,054,2,2010
102.7,85.39,76.69,71.59,66.92,56.62,59.94,78.6,106.9,91.81,73.96,62.64,53.85,47.23,41.56,43.02,41.57,51.68,64.9,57.15,47.65,51.27,37.1,32.6,2010-02-04,4,08,2,054,3,2010
9.46,7.63,5.99,9.86,9.55,10.23,18.72,42.05,60.3,38.34,23.7,15.82,13.65,13.06,11.62,14.35,14.43,20.25,33.25,38.5,48.46,50.57,43.53,36.8,2010-02-05,5,08,2,054,4,2010
24.38,36.51,29.56,33.9,25.87,27.35,40.66,50.21,52.92,29.85,23.92,21.37,17.72,17.42,14.72,15.63,16.31,23.57,36.93,65.89,76.69,102.1,111.2,89.28,2010-02-06,6,08,2,054,5,2010
73.57,92.91,85.86,90.78,93.0,74.07,64.29,60.74,57.9,62.02,61.67,46.12,52.86,49.57,36.37,31.65,21.34,26.07,36.86,63.66,90.57,87.14,80.63,90.93,2010-02-07,7,08,2,054,6,2010
77.55,67.75,55.63,41.94,32.73,30.89,43.56,63.78,65.76,57.06,57.56,62.47,58.49,51.81,38.38,31.77,30.23,33.38,60.79,94.76,84.67,74.2,100.3,98.43,2010-02-08,8,08,2,054,0,2010
89.11,43.9,21.27,16.38,18.27,19.15,31.55,49.2,85.95,69.97,34.96,35.54,26.5,19.61,17.02,20.28,22.87,47.02,68.74,100.2,70.66,49.77,39.35,35.34,2010-02-09,9,08,2,054,1,2010
27.6,29.3,19.49,21.76,31.67,57.61,78.07,110.3,113.8,94.41,70.45,30.94,23.28,30.77,34.81,27.01,38.35,42.98,41.53,63.97,68.27,69.26,41.75,28.15,2010-02-10,10,08,2,054,2,2010
