00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,date,day,metric,month,station,weekday,year
4.54,13.48,11.95,5.64,2.27,1.14,5.01,7.92,7.51,3.59,2.41,3.42,3.28,1.51,3.42,4.26,5.56,14.14,19.45,22.25,34.91,45.04,35.5,18.12,2010-01-01,1,08,1,004,4,2010
25.31,31.07,31.13,15.78,18.56,10.28,16.85,33.9,30.47,25.15,31.92,24.87,30.94,56.06,62.71,52.17,44.49,49.91,58.53,59.18,62.84,62.37,58.87,61.93,2010-01-02,2,08,1,004,5,2010
73.13,66.38,47.03,48.0,43.69,38.25,33.53,35.02,37.64,40.72,42.84,44.09,47.93,51.57,53.87,58.43,61.37,64.96,58.54,58.84,66.34,58.21,44.08,59.26,2010-01-03,3,08,1,004,6,2010
54.26,46.07,33.19,20.15,20.94,22.16,25.76,36.17,44.2,46.53,43.04,45.06,59.34,77.63,74.04,70.68,72.04,58.44,76.74,84.6,73.06,77.88,66.61,52.45,2010-01-04,4,08,1,004,0,2010
41.05,36.58,29.15,25.07,13.86,26.42,42.43,45.45,52.29,42.68,57.76,55.0,50.02,47.93,54.75,57.79,48.2,47.35,47.06,50.04,56.43,51.01,56.72,56.93,2010-01-05,5,08,1,004,1,2010
53.61,45.57,34.19,17.74,22.04,20.97,30.3,15.97,19.36,29.35,12.36,9.79,17.34,14.83,17.31,14.45,14.2,23.79,43.07,51.16,49.66,54.3,52.15,59.47,2010-01-06,6,08,1,004,2,2010
38.5,20.35,23.11,12.9,6.48,6.64,11.08,29.1,44.55,44.09,34.28,30.78,29.54,26.22,31.15,28.28,38.0,50.04,50.87,62.28,43.88,40.85,24.38,19.43,2010-01-07,7,08,1,004,3,2010
14.22,9.03,9.8,7.92,4.81,2.88,6.26,20.92,30.62,32.76,29.08,26.48,25.19,25.77,28.25,26.17,36.16,53.66,61.95,66.23,64.46,52.95,40.67,32.43,2010-01-08,8,08,1,004,4,2010
23.34,32.75,23.23,20.27,17.03,15.22,10.48,18.09,14.83,21.54,18.23,17.86,16.86,14.78,14.65,22.71,23.91,25.37,44.36,48.04,39.52,42.8,54.47,37.72,2010-01-09,9,08,1,004,5,2010
33.05,24.46,39.62,36.68,42.36,52.22,50.62,43.42,43.59,50.05,50.09,52.73,56.38,57.82,54.91,50.67,64.54,42.26,53.4,48.84,49.74,45.89,51.39,41.23,2010-01-10,10,08,1,004,6,2010
27.95,23.8,33.57,37.84,30.43,31.05,31.14,50.06,69.48,75.59,70.83,68.33,56.65,74.94,75.71,82.44,83.06,86.9,83.74,62.62,65.46,68.94,81.54,64.36,2010-01-11,11,08,1,004,0,2010
54.82,35.67,43.59,36.72,28.08,25.46,39.35,48.64,66.13,72.24,66.38,58.06,69.2,80.25,74.97,63.63,81.25,79.63,90.24,96.1,60.31,62.4,79.2,62.27,2010-01-12,12,08,1,004,1,2010
43.57,49.0,39.27,14.2,13.76,17.74,29.59,38.91,47.34,76.72,76.04,79.95,79.73,67.43,67.38,69.96,75.63,87.28,97.71,83.84,74.36,62.03,45.77,50.17,2010-01-13,13,08,1,004,2,2010
38.6,15.01,2.11,0.76,0.63,0.69,3.99,12.92,24.1,29.42,26.3,22.04,23.54,22.46,25.06,29.32,31.35,40.77,53.33,50.78,53.17,51.62,41.59,23.46,2010-01-14,14,08,1,004,3,2010
17.59,24.94,29.04,28.99,31.57,25.25,38.3,75.07,104.5,126.8,98.28,96.41,106.1,88.1,70.66,59.19,59.72,77.65,82.34,88.82,89.81,88.9,89.73,79.86,2010-01-15,15,08,1,004,4,2010
