00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,date,day,metric,month,station,weekday,year
9.83,23.05,17.7,9.39,9.01,6.31,8.12,8.02,8.54,7.35,6.45,4.53,6.28,8.94,11.92,10.15,10.42,16.43,31.52,35.61,31.62,40.0,32.3,32.18,2010-01-01,1,08,1,057,4,2010
21.97,15.77,18.87,22.4,14.89,16.4,21.67,47.58,55.39,42.0,43.47,32.9,46.26,42.89,61.44,65.41,64.03,65.16,85.83,99.0,106.6,98.96,79.0,68.04,2010-01-02,2,08,1,057,5,2010
59.5,72.52,71.04,58.54,48.16,39.51,41.72,50.66,46.93,40.01,29.42,26.09,48.46,53.31,64.5,73.73,80.82,74.51,79.96,75.62,90.86,89.77,86.21,68.59,2010-01-03,3,08,1,057,6,2010
58.68,46.01,31.8,32.44,27.18,30.71,25.06,32.43,41.25,41.46,37.51,43.14,55.97,59.69,60.92,73.2,74.27,60.67,77.98,91.57,92.83,88.88,85.67,64.54,2010-01-04,4,08,1,057,0,2010
28.19,30.5,38.79,41.01,24.01,24.49,22.42,34.85,50.92,65.63,64.69,53.5,52.24,33.44,46.03,70.29,71.06,56.74,35.63,42.33,39.98,49.7,84.61,51.39,2010-01-05,5,08,1,057,1,2010
67.16,47.77,42.63,47.18,21.77,18.25,7.82,15.06,19.2,24.15,18.55,16.82,11.52,11.19,13.63,11.36,10.31,16.02,30.75,35.92,44.85,52.02,61.96,69.22,2010-01-06,6,08,1,057,2,2010
70.09,34.66,30.38,17.71,10.18,8.39,12.63,19.73,26.15,26.27,21.6,17.1,19.07,17.13,18.3,22.66,21.45,47.55,55.44,73.74,51.85,31.91,14.52,7.42,2010-01-07,7,08,1,057,3,2010
5.12,4.21,3.5,3.16,3.93,2.25,5.8,20.02,24.81,28.3,20.57,19.74,20.1,24.69,22.69,21.35,26.14,37.27,53.37,69.75,62.0,49.35,53.66,22.77,2010-01-08,8,08,1,057,4,2010
15.13,9.56,5.99,6.62,8.76,9.56,33.82,30.74,28.63,25.71,25.59,20.29,33.91,24.32,23.13,16.45,22.06,34.29,62.36,73.18,73.12,81.23,63.23,71.03,2010-01-09,9,08,1,057,5,2010
57.15,33.59,26.88,28.85,22.68,43.91,48.55,43.06,36.68,25.54,33.76,35.86,48.64,45.25,64.8,67.91,70.06,78.28,56.32,89.38,72.82,42.91,47.97,41.96,2010-01-10,10,08,1,057,6,2010
