00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,date,day,metric,month,station,weekday,year
19.99,29.8,29.15,19.13,14.61,10.08,13.31,14.55,16.65,15.01,14.65,15.94,15.43,15.86,19.2,16.11,19.2,33.54,46.8,55.69,59.07,58.4,64.6,38.16,2010-01-01,1,08,1,016,4,2010
26.26,29.75,31.26,44.92,19.47,26.72,43.94,45.76,52.73,45.12,45.24,53.74,47.97,56.34,60.27,48.13,51.54,42.88,48.22,63.98,76.49,74.75,69.03,63.95,2010-01-02,2,08,1,016,5,2010
63.51,64.85,62.68,55.12,47.81,46.14,48.41,50.51,53.38,52.66,39.09,39.46,38.17,44.53,58.89,74.05,70.19,65.82,58.25,62.64,68.17,80.37,67.34,64.78,2010-01-03,3,08,1,016,6,2010
53.32,51.22,42.5,33.85,32.78,29.48,30.73,34.17,45.53,43.78,39.02,42.42,50.26,58.73,67.34,63.14,58.64,79.74,88.14,87.38,90.29,87.05,80.05,56.89,2010-01-04,4,08,1,016,0,2010
41.36,36.15,32.08,47.05,42.69,40.68,39.01,46.96,53.56,63.51,58.89,59.79,40.14,37.37,47.63,59.35,62.58,63.24,48.97,59.19,57.4,43.56,60.83,65.5,2010-01-05,5,08,1,016,1,2010
60.34,65.61,34.93,32.52,27.01,22.93,17.21,21.56,21.77,24.48,26.05,25.56,28.45,26.33,26.85,24.65,23.5,30.47,57.45,62.25,64.24,73.73,73.86,68.52,2010-01-06,6,08,1,016,2,2010
53.93,29.08,30.14,20.72,16.72,12.78,16.9,30.2,34.09,36.77,30.15,25.61,21.41,30.46304006541292,21.95,26.1,29.11,34.61,33.41,46.06,42.08,28.52,15.78,11.79,2010-01-07,7,08,1,016,3,2010
8.61,7.3,6.91,6.94,7.26,8.31,11.06,22.92,29.37,35.02,24.5,17.27,17.87,15.94,18.0,17.93,17.23,26.36,34.44,57.89,54.5,59.47,54.05,49.38,2010-01-08,8,08,1,016,4,2010
31.58,22.77,15.78,30.72,29.77,20.73,20.97,20.66,29.02,28.49,31.84,33.94,25.25,26.19,23.46,18.66,23.21,37.25,47.57,61.7,68.31,60.44,60.3,67.32,2010-01-09,9,08,1,016,5,2010
54.5,44.11,42.48,36.49,44.39,65.81,68.75,61.01,42.83,49.14,49.14,46.21,52.09,54.31,47.39,52.82,61.86,48.95,65.01,53.5,32.96,49.51,43.88,38.05,2010-01-10,10,08,1,016,6,2010
31.41,24.82,19.88,28.63,31.89,29.4,36.62,53.46,74.52,59.95,51.12,49.11,44.58,46.68,67.33,84.19,92.68,99.09,106.5,108.1,106.7,84.74,92.96,84.1,2010-01-11,11,08,1,016,0,2010
67.72,42.44,41.38,38.26,33.18,38.5,46.21,56.3,67.79,68.22,60.97,51.29,57.08,61.78,57.72,56.75,70.25,112.9,120.9,112.7,89.25,79.58,57.18,72.28,2010-01-12,12,08,1,016,1,2010
73.38,73.0,53.39,38.11,27.79,36.04,66.91,75.0,84.2,95.16,86.67,84.23,79.65,76.19,68.22,75.98,81.75,88.04,93.42,77.84,74.85,53.87,49.76,40.77,2010-01-13,13,08,1,016,2,2010
46.3,26.88,10.49,8.58,8.04,9.75,19.18,35.81,42.89,52.17,30.79,27.92,27.07,24.66,25.84,30.96,30.47,38.73,45.84,47.78,45.9,46.52,53.21,41.35,2010-01-14,14,08,1,016,3,2010
23.05,38.45,44.93,46.09,56.7,64.69,69.47,70.59,96.99,84.65,88.96,81.81,62.72,74.83,73.26,74.33,80.78,93.09,94.67,95.75,94.28,93.08,101.3,91.33,2010-01-15,15,08,1,016,4,2010
84.3,68.6,56.08,49.6,48.14,52.46,51.69,57.31,58.49,58.65,63.13,62.81,68.47,67.04,70.27,66.77,60.0,60.44,66.73,68.33,68.28,64.69,52.71,55.41,2010-01-16,16,08,1,016,5,2010
68.13,59.19,50.45,47.21,38.1,32.4,32.25,34.06,30.94,33.88,37.61,41.26,40.21,49.14,46.3,45.34,43.39,51.25,68.11,83.59,88.2,67.06,68.74,69.78,2010-01-17,17,08,1,016,6,2010
61.19,66.26,61.48,55.38,51.79,43.77,36.11,47.51,55.12,56.12,54.68,45.56,34.56,48.5,40.33,52.0,59.23,66.74,69.4,70.75,71.16,81.29,70.55,65.52,2010-01-18,18,08,1,016,0,2010
59.66,53.48,49.46,45.77,47.51,50.47,54.2,63.61,66.32,78.2,77.63,75.8,72.34,74.21,68.61,56.39,63.51,67.96,60.63,57.65,54.56,54.73,50.55,45.7,2010-01-19,19,08,1,016,1,2010
49.88,46.44,22.54,23.37,22.15,19.54,30.54,57.86,68.49,65.55,54.73,34.61666067048242,43.86,41.87,37.93,36.08,39.53,51.64,63.52,53.93,63.7,65.53,71.93,74.22,2010-01-20,20,08,1,016,2,2010
74.62,80.05,80.84,66.15,64.43,59.94,59.2,59.84,63.74,83.55,72.93,57.15,58.5,65.78,90.4,89.34,97.75,106.0,101.7,102.2,89.44,79.28,83.31,122.5,2010-01-21,21,08,1,016,3,2010
101.1,75.57,55.67,49.9,48.77,46.71,50.36,51.75,63.97,58.58,54.69,57.12,55.81,52.86,66.06,78.89,108.0,113.3,119.8,130.1,105.9,91.46,101.8,123.2,2010-01-22,22,08,1,016,4,2010
93.59,97.61,76.12,66.16,62.07,53.34,47.5,39.83,44.96,44.15,46.07,33.44,26.36,22.42,26.64,28.33,23.89,24.76,36.95,58.01,43.14,41.11,38.38,59.82,2010-01-23,23,08,1,016,5,2010
56.25,44.04,55.9,67.86,65.21,49.48,62.36,59.65,67.15,49.99,42.46,37.58,31.77,20.98,18.22,13.93,17.55,21.98,34.44,30.8,43.74,47.82,29.61,17.93,2010-01-24,24,08,1,016,6,2010
12.17,12.26,8.12,8.48,7.4,12.49,24.21,48.63,70.26,60.59,43.76,23.92,14.63,17.46,14.34,16.62,18.11,28.8,37.66,56.08,35.97,24.84,23.85,18.89,2010-01-25,25,08,1,016,0,2010
10.3,9.04,7.2,6.56,5.83,7.69,19.07,38.23,42.73,35.66,25.85,20.89,20.49,19.4,18.6,17.08,22.67,33.42,45.2,66.81,65.64,62.17,55.82,44.15,2010-01-26,26,08,1,016,1,2010
27.56,20.93,11.06,10.69,18.56,26.55,18.23,23.02,35.46,37.86,22.26,20.44,17.68,25.97,22.65,18.69,25.1,43.91,56.55,61.89,42.55,39.56,32.77,29.51,2010-01-27,27,08,1,016,2,2010
