,actual,predicted,difference,mae,mse
447,39.0,34.318783,4.681217,4.681217,21.913794
448,44.0,36.850773,7.149227,7.149227,51.11145
449,55.0,40.39079,14.609211,14.609211,213.42905
450,48.0,47.92744,0.07255936,0.07255936,0.00526486
451,54.0,47.95519,6.0448112,6.0448112,36.53974
452,27.000002,50.635876,-23.635874,23.635874,558.65454
453,26.0,36.991383,-10.991383,10.991383,120.81049
454,15.0,29.150482,-14.150482,14.150482,200.23615
455,15.0,20.625217,-5.6252174,5.6252174,31.643072
456,9.0,17.425838,-8.425838,8.425838,70.99475
457,12.000001,13.675611,-1.6756096,1.6756096,2.8076675
458,14.000001,13.74249,0.25751114,0.25751114,0.066311985
459,31.000002,14.989239,16.010763,16.010763,256.34454
460,37.0,24.044123,12.955877,12.955877,167.85475
461,43.0,31.507912,11.492088,11.492088,132.0681
462,40.0,37.865128,2.1348724,2.1348724,4.55768
463,33.0,39.032845,-6.0328445,6.0328445,36.395214
464,31.000002,35.156715,-4.1567135,4.1567135,17.278267
465,42.0,31.988712,10.011288,10.011288,100.22588
466,41.0,36.607994,4.392006,4.392006,19.289717
467,38.0,38.730637,-0.7306366,0.7306366,0.5338298
468,39.0,37.895184,1.1048164,1.1048164,1.2206193
469,42.0,37.84695,4.1530495,4.1530495,17.24782
470,55.0,39.417427,15.582573,15.582573,242.81657
471,63.0,47.267536,15.732464,15.732464,247.51042
472,76.0,55.6697,20.3303,20.3303,413.32108
473,74.0,66.23656,7.763443,7.763443,60.271046
474,66.0,70.68064,-4.680641,4.680641,21.908401
475,61.000004,68.33879,-7.338787,7.338787,53.857796
476,54.0,63.7832,-9.783199,9.783199,95.71099
477,49.0,57.36681,-8.36681,8.36681,70.00351
478,48.0,51.45916,-3.4591599,3.4591599,11.965787
479,44.0,48.262165,-4.262165,4.262165,18.166052
480,40.0,44.866478,-4.866478,4.866478,23.682608
481,26.0,41.158894,-15.158894,15.158894,229.79205
482,20.0,31.734673,-11.734673,11.734673,137.70255
483,30.0,24.181173,5.8188267,5.8188267,33.858746
484,52.0,26.654364,25.345636,25.345636,642.4013
485,56.0,39.928623,16.071377,16.071377,258.28915
486,62.0,49.054897,12.945103,12.945103,167.57568
487,61.000004,56.30279,4.697212,4.697212,22.063803
488,48.0,59.045357,-11.045357,11.045357,121.99991
489,36.0,52.744743,-16.744743,16.744743,280.38644
490,31.000002,42.18876,-11.188757,11.188757,125.18828
491,25.0,34.242332,-9.242332,9.242332,85.42071
492,24.0,27.925062,-3.9250622,3.9250622,15.406113
493,30.0,25.076433,4.923567,4.923567,24.24151
494,28.0,27.381927,0.6180725,0.6180725,0.38201362
495,30.0,27.620617,2.379383,2.379383,5.6614637
496,22.0,28.667906,-6.667906,6.667906,44.460968
497,34.0,24.872316,9.127684,9.127684,83.314606
498,44.0,29.335222,14.664778,14.664778,215.05571
499,39.0,37.147877,1.8521233,1.8521233,3.4303606
500,37.0,38.165844,-1.165844,1.165844,1.3591921
501,62.0,37.08652,24.913479,24.913479,620.68146
502,38.0,49.604885,-11.604885,11.604885,134.67336
503,37.0,43.568634,-6.568634,6.568634,43.146954
504,40.0,38.818314,1.1816864,1.1816864,1.3963828
505,33.0,38.411594,-5.4115944,5.4115944,29.285355
506,24.0,34.566338,-10.566338,10.566338,111.64749
507,28.0,27.986439,0.013561249,0.013561249,0.00018390747
508,35.0,27.222675,7.7773247,7.7773247,60.48678
509,42.0,31.024143,10.975857,10.975857,120.46943
510,48.0,36.77429,11.225712,11.225712,126.01661
511,48.0,42.776283,5.2237167,5.2237167,27.287216
512,51.0,45.52296,5.4770393,5.4770393,29.99796
513,49.0,48.1073,0.8927002,0.8927002,0.7969136
514,54.0,48.153637,5.846363,5.846363,34.179962
515,59.0,50.617237,8.382763,8.382763,70.27071
516,54.0,54.648815,-0.64881516,0.64881516,0.4209611
517,49.0,54.053326,-5.0533257,5.0533257,25.5361
518,48.0,50.67969,-2.6796913,2.6796913,7.1807456
519,44.0,48.182243,-4.1822433,4.1822433,17.49116
520,42.0,44.866478,-2.866478,2.866478,8.216696
521,43.0,42.265373,0.73462677,0.73462677,0.5396765
522,40.0,41.730556,-1.7305565,1.7305565,2.9948258
523,30.0,40.009125,-10.009125,10.009125,100.18258
524,24.0,33.657593,-9.657593,9.657593,93.2691
525,21.0,27.358974,-6.3589745,6.3589745,40.436558
526,15.0,23.242804,-8.242804,8.242804,67.94381
527,14.000001,18.708027,-4.708026,4.708026,22.165508
528,16.000002,16.52596,-0.525959,0.525959,0.27663288
529,19.0,16.868557,2.131443,2.131443,4.5430493
530,25.0,18.656788,6.343212,6.343212,40.23634
531,23.000002,22.518236,0.48176575,0.48176575,0.23209824
532,32.0,23.15509,8.84491,8.84491,78.23243
533,28.0,27.914402,0.08559799,0.08559799,0.0073270164
534,32.0,28.042765,3.9572353,3.9572353,15.659712
535,35.0,29.886478,5.1135216,5.1135216,26.148104
536,38.0,32.423344,5.5766563,5.5766563,31.099096
537,45.000004,35.123272,9.876732,9.876732,97.549835
538,50.0,40.154068,9.845932,9.845932,96.942375
539,53.000004,45.274967,7.7250366,7.7250366,59.67619
540,50.0,49.26767,0.7323303,0.7323303,0.5363077
541,53.000004,49.420982,3.5790215,3.5790215,12.809395
