,actual,predicted,difference,mae,mse
4876,58.23864,37.130184,21.108456,21.108456,445.5669
4877,55.75,48.60567,7.144329,7.144329,51.04144
4878,59.068184,52.97382,6.094364,6.094364,37.141273
4879,45.795456,56.159718,-10.364262,10.364262,107.417915
4880,37.5,50.220646,-12.720646,12.720646,161.81483
4881,43.306816,41.868744,1.4380722,1.4380722,2.0680516
4882,27.545456,41.160385,-13.614929,13.614929,185.3663
4883,21.738636,32.754982,-11.016346,11.016346,121.35988
4884,28.375,25.639717,2.735283,2.735283,7.4817724
4885,33.352272,26.444365,6.9079075,6.9079075,47.719185
4886,49.11364,29.91895,19.19469,19.19469,368.43616
4887,37.5,40.058224,-2.5582237,2.5582237,6.5445085
4888,55.75,38.893494,16.856506,16.856506,284.1418
4889,39.98864,47.288597,-7.2999573,7.2999573,53.289375
4890,97.22727,43.34008,53.88719,53.88719,2903.8293
4891,59.068184,68.53804,-9.469856,9.469856,89.67818
4892,24.227272,65.70021,-41.47294,41.47294,1720.0046
4893,20.079546,42.08305,-22.003504,22.003504,484.15417
4894,20.909092,27.2305,-6.3214073,6.3214073,39.96019
4895,12.613637,22.15864,-9.545003,9.545003,91.10708
4896,14.272728,17.07753,-2.804802,2.804802,7.866914
4897,11.784091,16.070189,-4.2860975,4.2860975,18.370632
4898,18.420454,14.6748905,3.7455635,3.7455635,14.029246
4899,21.738636,17.422266,4.31637,4.31637,18.63105
4900,28.375,20.427818,7.9471817,7.9471817,63.157696
4901,30.863636,25.047201,5.816435,5.816435,33.830914
4902,27.545456,28.391739,-0.84628296,0.84628296,0.71619487
4903,27.545456,27.895004,-0.34954834,0.34954834,0.12218404
4904,32.522728,27.420761,5.101967,5.101967,26.030066
4905,22.568182,29.849876,-7.2816944,7.2816944,53.023075
4906,10.125001,25.714231,-15.589231,15.589231,243.02411
4907,13.443182,17.142014,-3.6988316,3.6988316,13.6813545
4908,12.613637,15.429635,-2.815998,2.815998,7.9298453
4909,19.25,14.781764,4.468236,4.468236,19.965132
4910,16.761364,17.926754,-1.16539,1.16539,1.3581339
4911,40.818184,18.126852,22.691332,22.691332,514.89655
4912,38.329544,30.310444,8.0191,8.0191,64.30597
4913,103.03409,35.168613,67.86548,67.86548,4605.723
4914,68.193184,67.75597,0.4372177,0.4372177,0.19115932
4915,45.795456,70.736534,-24.941078,24.941078,622.0574
4916,26.71591,57.798035,-31.082125,31.082125,966.09845
4917,25.05682,38.778908,-13.722088,13.722088,188.2957
4918,25.886364,28.342146,-2.455782,2.455782,6.0308647
4919,30.034092,25.953117,4.0809746,4.0809746,16.654354
4920,27.545456,27.786549,-0.24109268,0.24109268,0.058125682
4921,21.738636,27.549036,-5.8104,5.8104,33.76075
4922,29.204546,24.193558,5.010988,5.010988,25.110003
4923,23.397728,26.581034,-3.1833057,3.1833057,10.133435
4924,20.909092,24.839773,-3.9306812,3.9306812,15.450255
4925,24.227272,22.575943,1.651329,1.651329,2.7268877
4926,15.931819,23.4145,-7.4826803,7.4826803,55.990505
4927,18.420454,19.581903,-1.1614494,1.1614494,1.3489648
4928,20.909092,19.143564,1.7655277,1.7655277,3.117088
4929,25.05682,20.461706,4.5951138,4.5951138,21.11507
4930,17.59091,23.20761,-5.616699,5.616699,31.54731
4931,12.613637,20.539455,-7.9258184,7.9258184,62.8186
4932,11.784091,16.619978,-4.835887,4.835887,23.385803
4933,28.375,14.697547,13.677453,13.677453,187.07272
4934,24.227272,22.389717,1.8375549,1.8375549,3.3766081
4935,22.568182,23.987244,-1.4190617,1.4190617,2.013736
4936,54.920456,23.369934,31.550522,31.550522,995.4354
4937,79.806816,39.813816,39.993,39.993,1599.4401
4938,49.943184,60.9319,-10.988716,10.988716,120.751884
4939,35.011364,56.7489,-21.737537,21.737537,472.52054
4940,24.227272,44.22469,-19.997417,19.997417,399.8967
4941,19.25,31.007723,-11.757723,11.757723,138.24405
4942,13.443182,23.034916,-9.591734,9.591734,92.00136
4943,10.125001,17.618761,-7.49376,7.49376,56.15644
4944,28.375,14.143615,14.231385,14.231385,202.53232
4945,13.443182,22.0928,-8.649618,8.649618,74.815895
4946,24.227272,18.286625,5.940647,5.940647,35.291286
4947,54.920456,21.627995,33.29246,33.29246,1108.388
4948,59.068184,39.26931,19.798874,19.798874,391.99542
4949,59.068184,50.598465,8.469719,8.469719,71.73614
4950,47.454544,55.783875,-8.32933,8.32933,69.37775
4951,50.772728,51.424797,-0.6520691,0.6520691,0.4251941
4952,53.261364,49.86035,3.4010124,3.4010124,11.566886
4953,48.28409,50.750572,-2.466484,2.466484,6.083544
4954,30.034092,48.75802,-18.723927,18.723927,350.58542
4955,18.420454,37.508648,-19.088194,19.088194,364.35913
4956,16.761364,25.426273,-8.664909,8.664909,75.08066
4957,25.05682,19.845,5.2118206,5.2118206,27.163074
4958,28.375,22.48991,5.88509,5.88509,34.63428
4959,34.18182,25.855825,8.3259945,8.3259945,69.32218
4960,35.840908,30.392532,5.4483757,5.4483757,29.684797
4961,34.18182,33.31148,0.87033844,0.87033844,0.757489
4962,38.329544,33.50387,4.825676,4.825676,23.28715
4963,47.454544,35.63213,11.822414,11.822414,139.76949
4964,57.40909,41.597332,15.811756,15.811756,250.01163
4965,38.329544,49.926716,-11.597172,11.597172,134.4944
4966,43.306816,43.681232,-0.37441635,0.37441635,0.1401876
4967,39.98864,42.318127,-2.3294868,2.3294868,5.426509
4968,32.522728,40.123802,-7.601074,7.601074,57.77633
4969,28.375,34.965153,-6.5901527,6.5901527,43.430115
4970,34.18182,30.429987,3.751833,3.751833,14.076251
4971,50.772728,31.645948,19.12678,19.12678,365.8337
4972,55.75,41.46722,14.28278,14.28278,203.9978
4973,64.045456,49.33858,14.706875,14.706875,216.29218
4974,42.477272,57.30869,-14.831417,14.831417,219.97093
4975,30.863636,49.53743,-18.673794,18.673794,348.71057
4976,32.522728,37.715908,-5.19318,5.19318,26.96912
4977,20.909092,33.113186,-12.204094,12.204094,148.93991
4978,20.079546,25.483255,-5.4037094,5.4037094,29.200075
4979,22.568182,21.997902,0.5702801,0.5702801,0.32521936
4980,18.420454,22.225834,-3.8053799,3.8053799,14.480916
4981,16.761364,20.376614,-3.6152496,3.6152496,13.07003
4982,21.738636,18.731771,3.0068645,3.0068645,9.041234
4983,17.59091,20.651274,-3.0603638,3.0603638,9.365827
4984,16.761364,19.474993,-2.7136288,2.7136288,7.363781
4985,17.59091,18.426863,-0.83595276,0.83595276,0.698817
4986,15.931819,18.464931,-2.5331125,2.5331125,6.416659
4987,22.568182,17.683239,4.884943,4.884943,23.862669
4988,16.761364,20.724346,-3.9629822,3.9629822,15.705228
4989,13.443182,19.164812,-5.72163,5.72163,32.73705
4990,13.443182,16.600515,-3.1573334,3.1573334,9.968754
4991,18.420454,15.608221,2.812233,2.812233,7.908654
4992,10.125001,17.793753,-7.6687517,7.6687517,58.809753
4993,12.613637,14.667351,-2.0537138,2.0537138,4.2177405
4994,6.806818,14.458152,-7.651334,7.651334,58.542908
4995,24.227272,11.7147455,12.5125265,12.5125265,156.56332
4996,34.18182,19.087177,15.094643,15.094643,227.84824
4997,49.11364,27.793257,21.320383,21.320383,454.55875
4998,54.920456,39.484447,15.436008,15.436008,238.27036
4999,45.795456,48.2797,-2.4842453,2.4842453,6.171475
5000,27.545456,47.141773,-19.596317,19.596317,384.01566
5001,14.272728,35.49955,-21.226822,21.226822,450.57797
